 The  Docks  at  Marseilles,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Jewel  Thieves  Outwitted,'Short'|  'short',Unloading  the  Boat,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Naval  Review  at  Cherburg,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Attack  on  a  China  Mission,'short'|  'less  than  5  minutes',Akrobatisches  Potpourri,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Rip  Leaving  Sleepy  Hollow,'Drama'|  'Short'|1800's|short|less  than  5  minutes,The  White  Terror,'Drama',Leaving  the  Factory,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Rip  Meeting  the  Dwarf,'Fantasy'|  'Short'|1800's|short|less  than  5  minutes,Smarter  than  the  Teacher,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes'",The  Prodigal  Son, 
 Rip  Passing  Over  the  Mountain,'Fantasy'|  'Short'|1800's|short|less  than  5  minutes,The  Volunteer  Parson,,Officers  of  French  Army  Leaving  Service,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Rip's  Toast,'Drama'|  'Short'|1800's|short|less  than  5  minutes,A  Princess  of  Bagdad,'Drama',The  Clown  Barber,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Rip's  Toast  to  Hudson,'Fantasy'|  'Short'|1800's|short|less  than  5  minutes,The  Might  of  Gold,,Rip's  Toast,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Rip's  Twenty  Years'  Sleep,'Drama'|  'Short'|1800's|short|less  than  5  minutes,The  Jilt,'Drama',Rip's  Toast  to  Hudson,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 French  Regiment  Going  to  the  Parade,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Arrival  of  a  Train,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes'",Coronation  of  a  Village  Maiden,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Rescue  on  the  River    Pt.  2,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Buffalo  Bill's  Wild  West  Parade,'Short'|  'Documentary'|  'short'|  'less  than  5  minutes',Horse  Trick  Riders,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Rescue  on  the  River    Pt.  1,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Menace  of  the  Mute,,Rescue  on  the  River    Pt.  2,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Soldier's  Courtship,'Comedy'|  'Short'|1800's|short|less  than  5  minutes,Pride  of  Sunshine  Alley,'Comedy',Leaving  Jerusalem  by  Railway,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Closing  Hours  at  Vibert's  Perfume  Factory,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Last  Days  of  Pompeii,,Conjurer  Making  Ten  Hats  in  Sixty  Seconds,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Terrible  Railway  Accident,'Short'|1800's|short|less  than  5  minutes,The  Artist  and  the  Flower  Girl,'Short'|  'short'|  'less  than  5  minutes',Demolition  of  a  Wall,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
